Name,Experiments
rule of thirds,"cat on old man's shoulders in an urban setting, Blend of historical and futuristic attire, the Ferris wheel, Neo-Noir, Fashion Photography, lone musician, sunken shipwreck"
fill the frame,"tiny, luminous fairy, with delicate wings against a minimalist background"
two-shot,
depth,"Astronomer's Observatory Overlooking a Meteor Shower, futuristic landscapes, library"
golden ratio,"Astronomer's Observatory Overlooking a Meteor Shower, futuristic landscapes, a seasoned backpacker, early morning scene inside a historic Catholic church, boatman, ancient warrior spirit, An intricately designed treehouse, car's view"
framing,"Caspar David Friedrich's landscapes infused with the dramatic depth of German Expressionism, mysterious cloaked figure in a neon-lit urban landscape"
contrast,
rule of space,"in the style of gothic art, In the dark forest"
leading lines,"Astronomer's Observatory Overlooking a Meteor Shower, futuristic landscapes, library, An intricately designed treehouse"
symmetry and patterns,
diagonals,
patterns and textures,
repetition,
symmetry,Caspar David Friedrich's landscapes infused with the dramatic depth of German Expressionism
juxtaposition,
center your subject,"tiny, luminous fairy, with delicate wings against a minimalist background"
negative space,"cat on old man's shoulders in an urban setting, silhouette of a person in an empty landscape"
balancing elements,
foreground interest,
frames within frames,"mysterious cloaked figure in a neon-lit urban landscape, Neo-Noir, Fashion Photography"
rule of odds,
Color,mysterious cloaked figure in a neon-lit urban landscape
repetition,
isolation,
layering,
dynamic tension,
directional lighting,
selective focus,
radial balance,
s-curve,
subframing,
analogous color harmony,
simplicity,"tiny, luminous fairy, with delicate wings against a minimalist background, silhouette of a person in an empty landscape"
motion blur,
High Dynamic Range,Caspar David Friedrich's landscapes infused with the dramatic depth of German Expressionism
triadic colors,
Monochrome,silhouette of a person in an empty landscape
mirroring,
full-body shot,"full-body shot of an astronaut, dark elf, female"
"lower third of the frame against a vast, empty background",
close-up,close up of Desert Nomad
front close up,
juxtaposition of light and shadow,cat on old man's shoulders in an urban setting
vividness,"Astronomer's Observatory Overlooking a Meteor Shower, futuristic landscapes"
chiaroscuro,
detailed,
low angle,
macrolens,soft woolly planet
depth of field,"soft woolly planet, A Instagram photo of woman in the window"
full-body view,
Emotionally charged portrait,
High contrast,
ultra close-up intensity,
eye focus,eliza's eyes
close-up shot,"eliza's eyes, The cartoon women face of the white paper character"
portraying,A Porcelain woman
full body centered,A Porcelain woman
Low-Angle Shot,A Porcelain woman
medium-full side angle,
"far view ",A far view painting of barren land
rich in vibrant colors and intricate details,
off-center,"lone musician, boatman"
clear lines,
detailed perspective,
clean sharp focus,"Historical photography, cinematic, a siege"
intersection of the lines,early morning scene inside a historic Catholic church
simplicity and tranquility,
soft focus on the background,
The view from the passenger's perspective,car's view
drone perspective,A small ancient Black young woman walks
Top view,A small ancient Black young woman walks
epic scale of the scene,A small ancient Black young woman walks
facing the camera,"cute anime grim reaper, with no face"
leg close-up,
details,the painting of a hand holding a sword
close-up of face,
panorama,
strong contrast,tarot mystery card depicting a female dancer with braided hair
dynamic composition,tarot mystery card depicting a female dancer with braided hair
blocky,tarot mystery card depicting a female dancer with braided hair
Extremely wide compositoin from far away,"spray painted realism, Extremely wide composition from far away"
seen from behind,
wide angle shot,
full body image,
dynamic layout,
Picture from a distant view,
depth and scale,
depth and scale,
low angle,A Instagram photo of woman in the window
close cinematic action shot,
action shot,
shaky camera,
close-up,a Japanese model
full shot,"Soviet rude old arrogant nurse in a poor hospital Full Shot, high Angle"
high angle,"Soviet rude old arrogant nurse in a poor hospital Full Shot, high Angle"
diagonal lines,
zoom burst,
black on white,Renaissance-style pose
Fibonacci Composition,very attractive classical elegant woman
Sharp Focus,very attractive classical elegant woman
Fine Detail,very attractive classical elegant woman
Sharp Edges,very attractive classical elegant woman
High Contrast,very attractive classical elegant woman
Double Tone Effect,very attractive classical elegant woman
lower third of the frame,
" Sony Alpha A7 III camera using Kodak Portra film",miko in mid-action
front view,
aerial view,
