Name,Tags,URL,prompt
Varisian sorceress,magic,,"full body tattoed varisian sorceress, with red robe"
a girl with tattoos,,,"A girl with tattoos, in the style of he jiaying, light beige and dark azure, webcam photography, nu - goth, heavy inking, poolcore"
office,image,,"A beautiful woman wearing pencil skirt, in the style of Peter Lindbergh, adding to her overall elegance. Shot on Canon EOS R5 camera with lens at f/2.8 aperture, and ISO speed set to 400. It's a high-definition photo that adds depth and detail. full body shot, and high-definition photography, back view with black shoes. The background is grey and she has short hair. standing up straight, giving off extremely professional vibes. Her posture exudes confidence, glasses in her left hand, high heels, highlighting her hourglass figure and slender waist. She has short dark hair that falls around her shoulders, holding an A4 file in hand. natural light, professional attire, soft lighting, wearing an elegant black skirt and halter top.The lighting casts soft shadows across her skin, wearing form-fitting pencil skirt with pinstripes and low back cut out holding black spiral notebook in hand. Her posture is confident as she stands against the light grey backdrop. The lighting accentuates her curves and features, while showing her waistline. The photo was taken by photographer Zhang Hanlin using Canon EOS R5, with a focal length of f/20 --ar 2:3 "
nun,,,"screenshot of the video, a beautiful [anime style] nun with white stockings showing off her tattooed legs in an instagram photo"
Moroccan,,,"a digital illustration of an elegant woman dressed in a traditional Moroccan caftan, lounging gracefully by a pool in a Moroccan riad. The setting is lush with vibrant plants and features soft pastel tones. The illustration should have a minimalist style with a focus on clean lines and balance, similar to architectural digest photography, and emulate the detailed character work seen in Artgerm's illustrations."
chinese beauty,,,"A Chinese super beauty, clad in a beautiful one-piece sport suit, with an exceptionally beautiful and adorable smiling face, and strikingly long, well-proportioned legs, personifies the figure of a valiant warrior--big-eyed and cute--with a high-tech vibe in an 8K high-resolution, real-life, high-quality photograph reminiscent of the stylings found in a fashion magazine's pictorial. The setting is outdoors, during the daytime, blessed with pleasant weather and radiant lighting. --ar 9:16 --style raw --stylize 750"
dark elf assasin,fantasy,,"a full body dark elf. She is an assassin-style dark elf, who uses a dagger and a bow"
athena,cref,,"Athena, emerging fully grown and armored from Zeus's head, classicism, crisp detail, romanticized realism, oil realistic painting "
mythical creature,,,A mythical creature that lives in the woods of Pennsylvania. This creature is a mammal. It is a bear and deer and wolf all in one. It has bird wings and insect wings. It has octopus tentacles and an alligator's tail. It is very elusive and very clever. The picture should be very bright and look like it was drawn by a child --ar 5:8 --style raw --stylize 750
robot,cref,,"diagonal view of an unisex cyberpunk robot in a red sleeveless hoodie with a yellow-colored screen glass holding a gym towel in its hand, in the style of cyberpunk, hyper realistic photography, detailed textures and skin details,light blue background, studio lighting, octane render, upper body shot, portrait"
"A woman ",,,"A tall , fit, barefoot woman, defined waist, olive skin, studio lighting, candid, full lips, fine lines,toned, tanned, flat stomach, thin and slim but has curves"
spanish,,,"19 year old spanish pretty girl, beautiful face, long brown straight hair, wearing glasses, wearing white beach clothes, Cyberpunk style, Pixar Popmart blind box 3d render, blender, octane rendering, real color, gray color background"
pinky,,,
Kneeling,,https://www.midjourney.com/jobs/f0036af9-5344-4ec6-8f82-44946afe1f0b?index=0,"40yo guy kneeling at the feet of a Stunning young blonde woman with an imperious expression and long wavy golden tresses wearing a knee-length leather dress in a modern luxury hotel room , dark, shadows, moody, photorealistic --chaos 5 --ar 16:26 --style raw --v 6"
